DATE,TICKER,PRC,SHROUT,CFACPR,SPRTRN
12/22/21,PG,159.32001,2419948,1,0.01018
12/23/21,PG,160.10001,2419948,1,0.006224
12/27/21,PG,161.97,2419948,1,0.013839
12/28/21,PG,162.84,2419948,1,-0.00101
12/29/21,PG,164.19,2419948,1,0.001402
12/30/21,PG,162.77,2419948,1,-0.00299
12/31/21,PG,163.58,2419948,1,-0.002626
1/3/22,PG,162.89999,2419948,1,0.006374
1/4/22,PG,163.47,2419948,1,-0.00063
1/5/22,PG,164.21001,2419948,1,-0.019393
1/6/22,PG,162.83,2419948,1,-0.000964
1/7/22,PG,162.74001,2419948,1,-0.00405
1/10/22,PG,160.52,2419948,1,-0.001441
