DATE,TICKER,COMNAM,PRIMEXCH,PRC,VOL,SHROUT,CFACPR,CFACSHR,SPRTRN
20140214,UNH,UNITEDHEALTH GROUP INC,N,73.52,6868800,1006758,1,1,0.004809
20140218,UNH,UNITEDHEALTH GROUP INC,N,73.83,5538400,1006758,1,1,0.001158
20140219,UNH,UNITEDHEALTH GROUP INC,N,73.55,3926500,1006758,1,1,-0.006524
20140220,UNH,UNITEDHEALTH GROUP INC,N,73.48,4134000,1006758,1,1,0.006031
20140221,UNH,UNITEDHEALTH GROUP INC,N,73.81,4562000,1006758,1,1,-0.001919
20140224,UNH,UNITEDHEALTH GROUP INC,N,76.01,9569700,1006758,1,1,0.006187
20140225,UNH,UNITEDHEALTH GROUP INC,N,75.32,3762200,1006758,1,1,-0.001348
20140226,UNH,UNITEDHEALTH GROUP INC,N,76.06,5433200,1006758,1,1,0.000022
20140227,UNH,UNITEDHEALTH GROUP INC,N,76.02,4227300,1006758,1,1,0.004948
20140228,UNH,UNITEDHEALTH GROUP INC,N,77.27,6176600,989192,1,1,0.002783
20140303,UNH,UNITEDHEALTH GROUP INC,N,77.1,3673405,989192,1,1,-0.007379
20140304,UNH,UNITEDHEALTH GROUP INC,N,78.13,5171180,989192,1,1,0.015268
20140305,UNH,UNITEDHEALTH GROUP INC,N,77.99,3934324,989192,1,1,-0.000053
20140306,UNH,UNITEDHEALTH GROUP INC,N,77.64,4200499,989192,1,1,0.001718
20140307,UNH,UNITEDHEALTH GROUP INC,N,77.4,3434762,989192,1,1,0.000538
20140310,UNH,UNITEDHEALTH GROUP INC,N,77.88,2986435,989192,1,1,-0.000463
20140311,UNH,UNITEDHEALTH GROUP INC,N,77.78,3471320,989192,1,1,-0.005082
20140312,UNH,UNITEDHEALTH GROUP INC,N,77.6,2875361,989192,1,1,0.000305
20140313,UNH,UNITEDHEALTH GROUP INC,N,77.01,3178656,989192,1,1,-0.011701
20140314,UNH,UNITEDHEALTH GROUP INC,N,75.7,5128657,989192,1,1,-0.002822
20140317,UNH,UNITEDHEALTH GROUP INC,N,76.76,3517946,989192,1,1,0.009614
20140318,UNH,UNITEDHEALTH GROUP INC,N,78,3670775,989192,1,1,0.00722
20140319,UNH,UNITEDHEALTH GROUP INC,N,79.96,9060088,989192,1,1,-0.006132
20140320,UNH,UNITEDHEALTH GROUP INC,N,81.53,7786538,989192,1,1,0.006041
20140321,UNH,UNITEDHEALTH GROUP INC,N,81.34,11828107,989192,1,1,-0.002933
20140324,UNH,UNITEDHEALTH GROUP INC,N,81.28,5306212,989192,1,1,-0.004865
20140325,UNH,UNITEDHEALTH GROUP INC,N,81.1,4590186,989192,1,1,0.004404
20140326,UNH,UNITEDHEALTH GROUP INC,N,81.54,6909988,989192,1,1,-0.007
20140327,UNH,UNITEDHEALTH GROUP INC,N,81.02,5453852,989192,1,1,-0.0019
20140328,UNH,UNITEDHEALTH GROUP INC,N,81.62,4787407,989192,1,1,0.00464
20140331,UNH,UNITEDHEALTH GROUP INC,N,81.99,3513665,989192,1,1,0.007924
20140401,UNH,UNITEDHEALTH GROUP INC,N,81.84,4339860,989192,1,1,0.007039
20140402,UNH,UNITEDHEALTH GROUP INC,N,81.61,3832145,989192,1,1,0.002853
20140403,UNH,UNITEDHEALTH GROUP INC,N,82.25,4215604,989192,1,1,-0.001126
20140404,UNH,UNITEDHEALTH GROUP INC,N,81.53,4788119,989192,1,1,-0.012537
20140407,UNH,UNITEDHEALTH GROUP INC,N,81.08,5290330,989192,1,1,-0.01075
20140408,UNH,UNITEDHEALTH GROUP INC,N,80.66,4048983,989192,1,1,0.003751
20140409,UNH,UNITEDHEALTH GROUP INC,N,81.39,3308856,989192,1,1,0.010918
20140410,UNH,UNITEDHEALTH GROUP INC,N,79.99,4850066,989192,1,1,-0.020885
20140411,UNH,UNITEDHEALTH GROUP INC,N,78.95,3418743,989192,1,1,-0.009487
20140414,UNH,UNITEDHEALTH GROUP INC,N,79.18,4013706,989192,1,1,0.008217
20140415,UNH,UNITEDHEALTH GROUP INC,N,79.51,4719051,989192,1,1,0.006757
20140416,UNH,UNITEDHEALTH GROUP INC,N,78.19,8098381,989192,1,1,0.010488
20140417,UNH,UNITEDHEALTH GROUP INC,N,75.78,13427199,989192,1,1,0.001364
20140421,UNH,UNITEDHEALTH GROUP INC,N,74.95,6912457,989192,1,1,0.003775
20140422,UNH,UNITEDHEALTH GROUP INC,N,75.76,6199367,989192,1,1,0.004092
20140423,UNH,UNITEDHEALTH GROUP INC,N,75.33,4645725,989192,1,1,-0.002213
20140424,UNH,UNITEDHEALTH GROUP INC,N,76.59,4604993,989192,1,1,0.001717
20140425,UNH,UNITEDHEALTH GROUP INC,N,75.66,5416238,989192,1,1,-0.008096
20140428,UNH,UNITEDHEALTH GROUP INC,N,75.74,5346755,989192,1,1,0.003236
20140429,UNH,UNITEDHEALTH GROUP INC,N,75.2,4813169,989192,1,1,0.004761
20140430,UNH,UNITEDHEALTH GROUP INC,N,75.04,6435883,984106,1,1,0.002992
20140501,UNH,UNITEDHEALTH GROUP INC,N,74.95,4597953,984106,1,1,-0.000143
20140502,UNH,UNITEDHEALTH GROUP INC,N,75.03,3794748,984106,1,1,-0.001348
20140505,UNH,UNITEDHEALTH GROUP INC,N,75.23,4476125,984106,1,1,0.001871
20140506,UNH,UNITEDHEALTH GROUP INC,N,75.26,4728216,984106,1,1,-0.008988
20140507,UNH,UNITEDHEALTH GROUP INC,N,77.91,6383483,984106,1,1,0.005616
20140508,UNH,UNITEDHEALTH GROUP INC,N,76.89,4943133,984106,1,1,-0.001374
20140509,UNH,UNITEDHEALTH GROUP INC,N,76.95,3465602,984106,1,1,0.001519
20140512,UNH,UNITEDHEALTH GROUP INC,N,77.74,3110874,984106,1,1,0.009673
20140513,UNH,UNITEDHEALTH GROUP INC,N,78.04,3059008,984106,1,1,0.000422
20140514,UNH,UNITEDHEALTH GROUP INC,N,77.17,2635300,984106,1,1,-0.004701
20140515,UNH,UNITEDHEALTH GROUP INC,N,76.48,3075204,984106,1,1,-0.009362
20140516,UNH,UNITEDHEALTH GROUP INC,N,76.65,2974554,984106,1,1,0.003747
20140519,UNH,UNITEDHEALTH GROUP INC,N,77.2,2149084,984106,1,1,0.003845
20140520,UNH,UNITEDHEALTH GROUP INC,N,76.66,2806514,984106,1,1,-0.006498
20140521,UNH,UNITEDHEALTH GROUP INC,N,77.72,2401209,984106,1,1,0.008116
20140522,UNH,UNITEDHEALTH GROUP INC,N,78.34,3147002,984106,1,1,0.002362
20140523,UNH,UNITEDHEALTH GROUP INC,N,78.77,2251500,984106,1,1,0.004248
20140527,UNH,UNITEDHEALTH GROUP INC,N,79.11,2645515,984106,1,1,0.005988
20140528,UNH,UNITEDHEALTH GROUP INC,N,78.58,2250873,984106,1,1,-0.001114
20140529,UNH,UNITEDHEALTH GROUP INC,N,79.37,3526776,984106,1,1,0.005367
20140530,UNH,UNITEDHEALTH GROUP INC,N,79.63,5139572,979861,1,1,0.001844
20140602,UNH,UNITEDHEALTH GROUP INC,N,79.47,1986392,979861,1,1,0.000728
20140603,UNH,UNITEDHEALTH GROUP INC,N,79.88,2841136,979861,1,1,-0.000379
20140604,UNH,UNITEDHEALTH GROUP INC,N,80.51,3552853,979861,1,1,0.001892
20140605,UNH,UNITEDHEALTH GROUP INC,N,79.8,3453679,979861,1,1,0.006525
20140606,UNH,UNITEDHEALTH GROUP INC,N,79.93,3286592,979861,1,1,0.004628
20140609,UNH,UNITEDHEALTH GROUP INC,N,79.76,2801673,979861,1,1,0.000939
20140610,UNH,UNITEDHEALTH GROUP INC,N,79.81,2459185,979861,1,1,-0.000246
20140611,UNH,UNITEDHEALTH GROUP INC,N,80.17,2733575,979861,1,1,-0.003537
20140612,UNH,UNITEDHEALTH GROUP INC,N,79.44,2559953,979861,1,1,-0.007089
20140613,UNH,UNITEDHEALTH GROUP INC,N,79.18,2265154,979861,1,1,0.003135
20140616,UNH,UNITEDHEALTH GROUP INC,N,78,4547770,979861,1,1,0.000837
20140617,UNH,UNITEDHEALTH GROUP INC,N,78.17,3430890,979861,1,1,0.002173
20140618,UNH,UNITEDHEALTH GROUP INC,N,79.21,4823037,979861,1,1,0.007719
20140619,UNH,UNITEDHEALTH GROUP INC,N,80.51,4544281,979861,1,1,0.001277
20140620,UNH,UNITEDHEALTH GROUP INC,N,81.41,7366539,979861,1,1,0.00173
20140623,UNH,UNITEDHEALTH GROUP INC,N,81.49,3066875,979861,1,1,-0.000132
20140624,UNH,UNITEDHEALTH GROUP INC,N,81.74,4685483,979861,1,1,-0.006435
20140625,UNH,UNITEDHEALTH GROUP INC,N,82.34,3634609,979861,1,1,0.004897
20140626,UNH,UNITEDHEALTH GROUP INC,N,82.29,2916113,979861,1,1,-0.001179
20140627,UNH,UNITEDHEALTH GROUP INC,N,82,4755622,979861,1,1,0.001911
20140630,UNH,UNITEDHEALTH GROUP INC,N,81.75,3916130,979861,1,1,-0.000372
20140701,UNH,UNITEDHEALTH GROUP INC,N,81.89,5482404,979861,1,1,0.006678
20140702,UNH,UNITEDHEALTH GROUP INC,N,82.49,3693498,979861,1,1,0.000659
20140703,UNH,UNITEDHEALTH GROUP INC,N,83.35,2183356,979861,1,1,0.00548
20140707,UNH,UNITEDHEALTH GROUP INC,N,82.22,2558521,979861,1,1,-0.003924
20140708,UNH,UNITEDHEALTH GROUP INC,N,81.93,2972233,979861,1,1,-0.007049
20140709,UNH,UNITEDHEALTH GROUP INC,N,82.74,3079544,979861,1,1,0.004644
20140710,UNH,UNITEDHEALTH GROUP INC,N,82.08,3829357,979861,1,1,-0.004131
20140711,UNH,UNITEDHEALTH GROUP INC,N,82.87,2758370,979861,1,1,0.001471
20140714,UNH,UNITEDHEALTH GROUP INC,N,84.27,3800692,979861,1,1,0.004844
20140715,UNH,UNITEDHEALTH GROUP INC,N,83.9,4375967,979861,1,1,-0.001932
20140716,UNH,UNITEDHEALTH GROUP INC,N,83.76,3955246,979861,1,1,0.004201
20140717,UNH,UNITEDHEALTH GROUP INC,N,85.11,7118352,979861,1,1,-0.011834
20140718,UNH,UNITEDHEALTH GROUP INC,N,85.52,3892050,979861,1,1,0.010265
20140721,UNH,UNITEDHEALTH GROUP INC,N,85.06,4025054,979861,1,1,-0.00232
20140722,UNH,UNITEDHEALTH GROUP INC,N,86.05,4366881,979861,1,1,0.005016
20140723,UNH,UNITEDHEALTH GROUP INC,N,85.94,2596329,979861,1,1,0.001754
20140724,UNH,UNITEDHEALTH GROUP INC,N,85.68,4022427,979861,1,1,0.000488
20140725,UNH,UNITEDHEALTH GROUP INC,N,84.68,3362632,979861,1,1,-0.004849
20140728,UNH,UNITEDHEALTH GROUP INC,N,85.75,2206871,979861,1,1,0.000288
20140729,UNH,UNITEDHEALTH GROUP INC,N,84.27,4897834,979861,1,1,-0.004528
20140730,UNH,UNITEDHEALTH GROUP INC,N,82.95,7171944,979861,1,1,0.000061
20140731,UNH,UNITEDHEALTH GROUP INC,N,81.05,5345605,979861,1,1,-0.019999
20140801,UNH,UNITEDHEALTH GROUP INC,N,81.49,4625057,979861,1,1,-0.002859
20140804,UNH,UNITEDHEALTH GROUP INC,N,82.27,3197713,979861,1,1,0.007189
20140805,UNH,UNITEDHEALTH GROUP INC,N,80.99,4599538,979861,1,1,-0.009685
20140806,UNH,UNITEDHEALTH GROUP INC,N,81.5,3311312,979861,1,1,0.000016
20140807,UNH,UNITEDHEALTH GROUP INC,N,79.26,5471126,979861,1,1,-0.005557
20140808,UNH,UNITEDHEALTH GROUP INC,N,80.12,3713398,979861,1,1,0.011531
20140811,UNH,UNITEDHEALTH GROUP INC,N,79.87,3460399,979861,1,1,0.002759
20140812,UNH,UNITEDHEALTH GROUP INC,N,80.22,3206150,979861,1,1,-0.001637
20140813,UNH,UNITEDHEALTH GROUP INC,N,81.51,3049868,979861,1,1,0.006707
20140814,UNH,UNITEDHEALTH GROUP INC,N,81.82,2241095,979861,1,1,0.004346
20140815,UNH,UNITEDHEALTH GROUP INC,N,81.47,2442721,979861,1,1,-0.000061
20140818,UNH,UNITEDHEALTH GROUP INC,N,82.34,2795757,979861,1,1,0.008532
20140819,UNH,UNITEDHEALTH GROUP INC,N,83.47,3549430,979861,1,1,0.005001
20140820,UNH,UNITEDHEALTH GROUP INC,N,83.43,2579624,979861,1,1,0.002478
20140821,UNH,UNITEDHEALTH GROUP INC,N,83.77,2648527,979861,1,1,0.00295
20140822,UNH,UNITEDHEALTH GROUP INC,N,83.78,2089466,979861,1,1,-0.001993
20140825,UNH,UNITEDHEALTH GROUP INC,N,84.24,1988101,979861,1,1,0.004788
20140826,UNH,UNITEDHEALTH GROUP INC,N,85.12,2269197,979861,1,1,0.001051
20140827,UNH,UNITEDHEALTH GROUP INC,N,86.38,5804220,979861,1,1,0.00005
20140828,UNH,UNITEDHEALTH GROUP INC,N,86.34,2753827,979861,1,1,-0.00169
20140829,UNH,UNITEDHEALTH GROUP INC,N,86.68,3297485,971625,1,1,0.00332
20140902,UNH,UNITEDHEALTH GROUP INC,N,86.39,3726067,971625,1,1,-0.000544
20140903,UNH,UNITEDHEALTH GROUP INC,N,86.79,2824458,971625,1,1,-0.000779
20140904,UNH,UNITEDHEALTH GROUP INC,N,87.06,3650146,971625,1,1,-0.001534
20140905,UNH,UNITEDHEALTH GROUP INC,N,87.75,3873450,971625,1,1,0.005036
20140908,UNH,UNITEDHEALTH GROUP INC,N,87.91,2298199,971625,1,1,-0.003073
20140909,UNH,UNITEDHEALTH GROUP INC,N,88.56,4413984,971625,1,1,-0.006545
20140910,UNH,UNITEDHEALTH GROUP INC,N,87.25,3355823,971625,1,1,0.003646
20140911,UNH,UNITEDHEALTH GROUP INC,N,87.08,3035393,971625,1,1,0.000882
20140912,UNH,UNITEDHEALTH GROUP INC,N,86.18,2582410,971625,1,1,-0.005963
20140915,UNH,UNITEDHEALTH GROUP INC,N,86.03,2441860,971625,1,1,-0.00071
20140916,UNH,UNITEDHEALTH GROUP INC,N,87.16,2973828,971625,1,1,0.007484
20140917,UNH,UNITEDHEALTH GROUP INC,N,86.99,3302717,971625,1,1,0.001296
20140918,UNH,UNITEDHEALTH GROUP INC,N,87.63,2583988,971625,1,1,0.004891
20140919,UNH,UNITEDHEALTH GROUP INC,N,87.8,6486285,971625,1,1,-0.000477
20140922,UNH,UNITEDHEALTH GROUP INC,N,87.77,2335394,971625,1,1,-0.008013
20140923,UNH,UNITEDHEALTH GROUP INC,N,86.59,2640243,971625,1,1,-0.005776
20140924,UNH,UNITEDHEALTH GROUP INC,N,88.21,2661475,971625,1,1,0.007832
20140925,UNH,UNITEDHEALTH GROUP INC,N,86.18,3657085,971625,1,1,-0.016169
20140926,UNH,UNITEDHEALTH GROUP INC,N,86.6,2260493,971625,1,1,0.008576
