PERMNO,date,TICKER,PRIMEXCH,HSICCD,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
14593,20130628,AAPL,Q,3571,396.53,2611351,-0.118303,908442,7,7
14593,20130731,AAPL,Q,3571,452.53,2431461,0.141225,908497,7,7
14593,20130830,AAPL,Q,3571,487.216,2997612,0.083389,908497,7,7
14593,20130930,AAPL,Q,3571,476.75,3214144,-0.021481,899213,7,7
14593,20131031,AAPL,Q,3571,522.70203,2948696,0.096386,899738,7,7
14593,20131129,AAPL,Q,3571,556.07001,1952387,0.069673,899738,7,7
14593,20131231,AAPL,Q,3571,561.02002,2547642,0.008902,892447,7,7
14593,20140131,AAPL,Q,3571,500.60001,3188098,-0.107697,891989,7,7
14593,20140228,AAPL,Q,3571,526.23999,2111318,0.057311,891989,7,7
14593,20140331,AAPL,Q,3571,536.73999,1794860,0.019953,861745,7,7
14593,20140430,AAPL,Q,3571,590.09003,2299269,0.099396,861381,7,7
14593,20140530,AAPL,Q,3571,633,2051679,0.078293,861381,7,7
14593,20140630,AAPL,Q,3571,92.93,8535462,0.027662,5989171,1,1
14593,20140731,AAPL,Q,3571,95.6,10375564,0.028731,5987867,1,1
14593,20140829,AAPL,Q,3571,102.5,9380685,0.077092,5987867,1,1
14593,20140930,AAPL,Q,3571,100.75,15283673,-0.017073,5866161,1,1
14593,20141031,AAPL,Q,3571,108,13609713,0.07196,5864840,1,1
14593,20141128,AAPL,Q,3571,118.93,8213451,0.105556,5864840,1,1
14593,20141231,AAPL,Q,3571,110.38,10766123,-0.071891,5826419,1,1
14593,20150130,AAPL,Q,3571,117.16,13062738,0.061424,5824748,1,1
14593,20150227,AAPL,Q,3571,128.46001,11373392,0.100461,5824748,1,1
14593,20150331,AAPL,Q,3571,124.43,11389236,-0.031372,5824748,1,1
14593,20150430,AAPL,Q,3571,125.15,9962108,0.005786,5762278,1,1
14593,20150529,AAPL,Q,3571,130.28,9552599,0.045146,5762278,1,1
14593,20150630,AAPL,Q,3571,125.425,8789027,-0.037266,5705400,1,1
14593,20150731,AAPL,Q,3571,121.3,10600330,-0.032888,5702722,1,1
14593,20150831,AAPL,Q,3571,112.76,16079713,-0.066117,5702722,1,1
14593,20150930,AAPL,Q,3571,110.3,12091001,-0.021816,5702722,1,1
14593,20151030,AAPL,Q,3571,119.5,11147142,0.083409,5575331,1,1
14593,20151130,AAPL,Q,3571,118.3,7517860,-0.00569,5575331,1,1
14593,20151231,AAPL,Q,3571,105.26,9237703,-0.110228,5544487,1,1
14593,20160129,AAPL,Q,3571,97.34,12705755,-0.075242,5544583,1,1
14593,20160229,AAPL,Q,3571,96.69,8115988,-0.001335,5544583,1,1
14593,20160331,AAPL,Q,3571,108.99,7462865,0.127211,5478446,1,1
14593,20160429,AAPL,Q,3571,93.74,8736024,-0.139921,5477425,1,1
14593,20160531,AAPL,Q,3571,99.86,9014125,0.071368,5477425,1,1
14593,20160630,AAPL,Q,3571,95.6,7810042,-0.04266,5393165,1,1
14593,20160729,AAPL,Q,3571,104.21,6860207,0.090063,5388443,1,1
